Task | Success rate | Errors
bucket | 96.0% | [48] | [40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
bucket-bucket_object | 0.0% | [0, 1, 2, 9, 10, 14, 21, 22, 27, 28, 29, 35, 36, 48] | [3, 13, 17, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1]
customer_gateway | 2.0% | [0, 1, 2, 5, 7, 9, 10, 11, 16, 20, 21, 22, 24, 32, 34, 35, 36, 37, 43, 45, 46, 48] | [10, 1, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 1, 4, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 9, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 2, 0, 2, 0, 1, 0, 1]
data_ami | 0.0% | [0, 1, 2, 8, 11, 12, 15, 18, 20, 21, 22, 48] | [1, 25, 0, 9, 1, 0, 0, 3, 0, 0, 3, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0]
data_ami-instance | 0.0% | [0, 1, 2, 8, 9, 10, 12, 14, 15, 22, 25, 29, 48] | [1, 2, 23, 0, 5, 0, 6, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1]
db_instance | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1]
elb | 6.0% | [0, 1, 2, 7, 8, 10, 11, 12, 13, 15, 16, 17, 19, 21, 23, 25, 26, 30, 32, 34, 36, 38, 39, 40, 48] | [1, 1, 3, 4, 8, 1, 0, 1, 3, 4, 2, 1, 1, 0, 1, 0, 1, 0, 3, 3, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0]
instance | 96.0% | [48] | [42, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
instance-output | 0.0% | [0, 1, 2, 3, 5, 10, 11, 12, 13, 14, 20, 21, 22, 23, 26, 27, 29, 31, 45, 46, 48] | [1, 19, 1, 1, 4, 3, 1, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 2, 1, 0, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 2, 0, 0, 0, 0]
instance-time | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 28, 31, 33, 34, 39, 45, 47, 48] | [3, 1, 3, 1, 1, 2, 4, 0, 2, 1, 2, 4, 2, 0, 1, 2, 1, 1, 2, 2, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 1, 1, 1, 0]
provider-vpc-vpc | 0.0% | [0, 1, 2, 3, 6, 10, 11, 12, 13, 14, 16, 18, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 34, 35, 42, 43, 48] | [1, 4, 2, 5, 3, 1, 2, 0, 1, 0, 2, 1, 6, 0, 0, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0]
random_pet-bucket | 34.0% | [0, 1, 3, 9, 10, 11, 12, 14, 15, 17, 19, 20, 21, 24, 26, 29, 31, 32, 33, 35, 38, 41, 45, 48] | [1, 1, 4, 1, 1, 2, 2, 4, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 2, 0, 1, 1, 1, 0, 1]
security | 0.0% | [0, 1, 2, 6, 11, 12, 15, 16, 17, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 37, 38, 42, 43, 48] | [5, 5, 0, 15, 1, 0, 0, 1, 2, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0]
security-instance | 0.0% | [0, 1, 4, 5, 9, 10, 13, 14, 15, 16, 19, 20, 21, 22, 25, 26, 29, 35, 36, 41, 42, 43, 45, 48] | [6, 2, 11, 0, 0, 1, 1, 6, 1, 0, 0, 1, 0, 3, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1]
service_quota | 0.0% | [0, 1, 3, 6, 8, 10, 11, 12, 13, 14, 16, 17, 19, 20, 22, 23, 26, 29, 30, 31, 32, 33, 35, 37, 40, 42, 45, 47, 48] | [1, 4, 1, 1, 10, 1, 1, 0, 1, 6, 0, 1, 0, 1, 0, 2, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 3, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 1, 0]
variable | 96.0% | [48] | [41, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
variable-security_ssh-security_web-instance | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 48] | [1, 1, 1, 1, 2, 3, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 0, 1, 1, 1, 0, 2, 0, 1, 1, 1, 1, 1]
vpc | 94.0% | [18, 48] | [10, 2, 0, 16, 5, 0, 1, 6, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
vpc-default_network_acl | 0.0% | [0, 1, 11, 14, 33, 48] | [2, 43, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
vpc-egress_only_internet_gateway | 0.0% | [0, 48] | [48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
vpc-gateway | 96.0% | [48] | [28, 0, 0, 0, 0, 3, 0, 0, 0, 6, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0]
