Task | Success rate | Errors
bucket | 90.0% | [4] 
bucket-bucket | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
customer_gateway | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
data_ami | 100.0% | [] 
data_ami-instance | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
db_instance | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
elb | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
instance | 100.0% | [] 
instance-output | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
instance-time | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
provider-vpc-vpc | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
random_pet-bucket | 50.0% | [0, 1, 6, 8, 9] 
security | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
security-instance | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
service_quota | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
variable | 100.0% | [] 
variable-security_ssh-security_web-instance | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
vpc | 100.0% | [] 
vpc-default_network_acl | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
vpc-egress_only_internet_gateway | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
vpc-gateway | 100.0% | [] 
vpc-gateway-instance-eip | 30.0% | [0, 2, 3, 4, 5, 8, 9] 
vpc-gateway-route_table-route | 50.0% | [0, 2, 3, 6, 9] 
vpc-service_discovery_private_dns | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
vpc-subnet | 90.0% | [6] 
vpc-subnet-instance | 90.0% | [9] 
vpc-subnet-nat | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
vpc-vpn-customer_gateway | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
vpc-vpn-customer_gateway-connection | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
wafv2_ip_set | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
workspaces_ip_group | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 
Average success rate 28.125%
