Task | Success rate | Errors
bucket | 100.0% | [] | [39, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
bucket-bucket_object | 98.0% | [47] | [10, 2, 1, 1, 7, 0, 0, 0, 0, 0, 10, 0, 1, 0, 1, 1, 0, 1, 2, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1]
customer_gateway | 100.0% | [] | [9, 2, 1, 0, 6, 25, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
data_ami | 98.0% | [49] | [22, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]
data_ami-instance | 100.0% | [] | [9, 18, 5, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
db_instance | 92.0% | [0, 24, 34, 43] | [1, 4, 5, 1, 1, 1, 1, 1, 1, 0, 6, 2, 6, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0]
elb | 44.0% | [10, 13, 18, 23, 25, 48] | [16, 0, 15, 0, 0, 8, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]
instance | 100.0% | [] | [5, 5, 0, 31, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
instance-output | 96.0% | [15, 34] | [4, 10, 3, 9, 0, 4, 0, 1, 0, 0, 0, 0, 0, 3, 1, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0]
instance-time | 0.0% | [0, 1, 5, 13, 14, 17, 18, 20, 21, 22, 23, 26, 27, 31, 33, 36, 37, 38, 39, 40, 44, 45, 49, 51] | [5, 12, 0, 0, 0, 1, 1, 0, 0, 6, 2, 0, 0, 1, 4, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 2, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]
