Task | Success rate | Errors
bucket | 100.0% | [] 
bucket-bucket | 33.33333333333333% | [0, 1] 
customer_gateway | 100.0% | [] 
data_ami | 100.0% | [] 
data_ami-instance | 100.0% | [] 
db_instance | 66.66666666666666% | [1] 
elb | 0.0% | [0, 1, 2] 
instance | 100.0% | [] 
instance-output | 66.66666666666666% | [0] 
instance-time | 0.0% | [0, 1, 2] 
provider-vpc-vpc | 0.0% | [0, 1, 2] 
random_pet-bucket | 0.0% | [0, 1, 2] 
security | 100.0% | [] 
security-instance | 0.0% | [0, 1, 2] 
service_quota | 0.0% | [0, 1, 2] 
variable | 100.0% | [] 
variable-security_ssh-security_web-instance | 0.0% | [0, 1, 2] 
vpc | 100.0% | [] 
vpc-default_network_acl | 0.0% | [0, 1, 2] 
vpc-egress_only_internet_gateway | 100.0% | [] 
vpc-gateway | 100.0% | [] 
vpc-gateway-instance-eip | 100.0% | [] 
vpc-gateway-route_table-route | 100.0% | [] 
vpc-service_discovery_private_dns | 0.0% | [0, 1, 2] 
vpc-subnet | 100.0% | [] 
vpc-subnet-instance | 100.0% | [] 
vpc-subnet-nat | 0.0% | [0, 1, 2] 
vpc-vpn-customer_gateway | 0.0% | [0, 1, 2] 
vpc-vpn-customer_gateway-connection | 33.33333333333333% | [0, 2] 
wafv2_ip_set | 100.0% | [] 
workspaces_ip_group | 100.0% | [] 
Average success rate 58.06451612903226%
