Task | Success rate | Errors
bucket | 100.0% | [] | [33, 0, 0, 2, 2, 0, 1, 8, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
bucket-bucket_object | 98.0% | [46] | [2, 7, 1, 1, 9, 2, 0, 1, 9, 0, 1, 0, 0, 2, 1, 0, 1, 1, 2, 0, 2, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]
customer_gateway | 100.0% | [] | [31, 0, 0, 7, 0, 0, 0, 0, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
data_ami | 100.0% | [] | [29, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
data_ami-instance | 100.0% | [] | [6, 16, 7, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
db_instance | 90.0% | [1, 5, 17, 31, 32] | [3, 1, 4, 9, 1, 2, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 3, 0, 1, 0, 1, 1, 3, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]
elb | 30.0% | [0, 1, 2, 17, 24, 28, 41, 44, 45, 50] | [19, 2, 0, 8, 1, 0, 0, 0, 2, 1, 2, 0, 3, 0, 0, 0, 0, 1, 0, 0, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]
instance | 100.0% | [] | [25, 0, 0, 3, 0, 4, 0, 0, 0, 8, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
instance-output | 94.0% | [10, 52, 53] | [4, 1, 1, 1, 6, 1, 8, 1, 1, 0, 13, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]
instance-time | 0.0% | [0, 1, 2, 3, 4, 5, 11, 12, 14, 16, 18, 19, 20, 21, 23, 24, 26, 29, 30, 34, 37, 38, 47] | [11, 2, 0, 1, 4, 0, 1, 0, 1, 0, 10, 1, 3, 1, 1, 0, 1, 1, 0, 3, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
provider-vpc-vpc | 0.0% | [0, 1, 4, 5, 10, 12, 13, 14, 17, 18, 20, 21, 23, 25, 29, 32, 33, 34, 36, 40, 43, 47, 50, 51, 52] | [7, 2, 1, 0, 1, 12, 3, 0, 0, 3, 1, 0, 0, 1, 1, 0, 1, 0, 3, 0, 0, 0, 2, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0]
random_pet-bucket | 86.0% | [19, 21, 34, 46] | [17, 3, 12, 1, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 1, 0, 0, 1, 0]
security | 98.0% | [25] | [6, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1]
security-instance | 98.0% | [37] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
service_quota | 98.0% | [45] | [4, 25, 0, 1, 0, 3, 0, 2, 0, 1, 0, 0, 0, 0, 3, 1, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0]
variable | 92.0% | [10, 14] | [28, 1, 1, 9, 0, 2, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
variable-security_ssh-security_web-instance | 36.0% | [0, 1, 2, 3, 4, 5, 10, 11, 14, 15, 20, 21, 22, 25, 27, 29, 30, 32, 33, 34, 36, 37, 39, 41, 43, 45, 46, 47, 48, 49, 50, 51] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
vpc | 100.0% | [] | [49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
vpc-default_network_acl | 16.0% | [0, 1, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 36, 37, 40, 43, 44, 45, 46, 48, 49, 50] | [1, 2, 1, 2, 2, 2, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 2, 3, 1, 2, 0, 1, 1, 1, 2, 0, 1, 1, 0, 0, 0, 1, 3, 0, 1, 1, 1, 2, 0, 1, 1, 2, 1, 0, 0, 1]
vpc-egress_only_internet_gateway | 100.0% | [] | [1, 2, 17, 7, 0, 1, 0, 1, 1, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 6, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
vpc-gateway | 96.0% | [15, 45] | [1, 1, 2, 24, 0, 0, 1, 1, 8, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]
vpc-gateway-instance-eip | 6.0% | [0, 1, 2, 3, 5, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53] | [1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
vpc-gateway-route_table-route | 14.000000000000002% | [0, 2, 5, 10, 11, 12, 15, 16, 17, 19, 23, 24, 25, 28, 31, 32, 34, 36, 39, 42, 46, 53] | [2, 4, 3, 1, 4, 0, 0, 1, 9, 1, 0, 2, 2, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 3, 2, 1, 0, 4, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]
vpc-service_discovery_private_dns | 98.0% | [0] | [1, 2, 2, 4, 2, 3, 15, 1, 1, 1, 0, 2, 1, 0, 1, 0, 2, 3, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]
vpc-subnet | 70.0% | [1, 3, 10, 13, 17, 23, 34, 37, 38, 40, 45] | [1, 1, 1, 1, 4, 1, 2, 9, 5, 3, 0, 2, 1, 0, 0, 0, 2, 5, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]
vpc-subnet-instance | 54.0% | [0, 1, 2, 3, 4, 5, 15, 17, 19, 20, 25, 26, 29, 31, 32, 36, 39, 47, 49, 50] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]
vpc-subnet-nat | 0.0% | [0, 1, 2, 3, 4, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 28, 29, 32, 33, 36, 37, 38, 41, 42, 43, 48, 52, 53] | [1, 1, 1, 1, 3, 1, 5, 1, 1, 1, 2, 4, 2, 6, 1, 0, 3, 0, 0, 0, 0, 1, 1, 2, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]
vpc-vpn-customer_gateway | 72.0% | [1, 18, 21, 32, 38, 44, 52] | [2, 7, 1, 1, 4, 8, 1, 0, 0, 0, 1, 0, 6, 1, 2, 0, 0, 0, 0, 6, 0, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
vpc-vpn-customer_gateway-connection | 56.00000000000001% | [0, 1, 3, 10, 11, 15, 16, 29, 32, 37, 45, 52] | [8, 1, 1, 1, 4, 1, 1, 3, 1, 1, 6, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 2, 0, 0, 1, 2, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]
wafv2_ip_set | 8.0% | [0, 15, 16, 17, 18, 21, 39, 46] | [29, 0, 0, 0, 0, 0, 0, 1, 3, 1, 1, 1, 0, 0, 9, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
workspaces_ip_group | 94.0% | [26, 36, 53] | [10, 2, 1, 1, 4, 1, 0, 0, 6, 0, 1, 0, 1, 0, 4, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1]
Average success rate 67.87096774193547%
