Task | Success rate | Errors
bucket | 0.0% | [0, 1, 2, 3, 4, 5, 7, 10, 12, 13, 14, 15, 16, 17, 19, 20, 23, 24, 25, 26, 27, 28, 32, 34, 43, 45, 47, 48] 
bucket-bucket_log | 0.0% | [0, 1, 48] 
bucket-bucket_object | 0.0% | [0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32, 33, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48] 
bucket_state_import | 0.0% | [0, 5, 7, 10, 12, 13, 16, 22, 26, 31, 32, 36, 38, 39, 46, 48] 
customer_gateway | 0.0% | [0, 6, 28, 48] 
data_ami | 0.0% | [0, 1, 8, 10, 12, 14, 15, 34, 41, 43, 48] 
data_ami-instance | 0.0% | [0, 1, 2, 3, 10, 12, 13, 14, 16, 18, 21, 22, 26, 27, 32, 39, 48] 
db_instance | 0.0% | [0, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 43, 44, 45, 47, 48] 
elb | 0.0% | [0, 1, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 22, 23, 27, 29, 33, 36, 40, 44, 45, 48] 
iam_user | 0.0% | [0, 48] 
instance | 0.0% | [0, 10] 
instance-output_dns | 0.0% | [0, 1, 2, 4, 8, 10, 11, 12, 16, 17, 23, 24, 25, 28, 40, 42, 43, 48] 
instance-output_ip | 0.0% | [0, 21, 48] 
instance-time | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 19, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 42, 48] 
instance_before_destroy | 0.0% | [0, 48] 
instance_connection | 0.0% | [0, 1, 10, 11, 14, 25, 48] 
instance_count | 0.0% | [0, 48] 
instance_ignore_tags | 0.0% | [0, 48] 
instance_prevent_destroy | 0.0% | [0, 12, 16, 19, 25, 27, 31, 37, 45, 48] 
instance_zone_1 | 0.0% | [0, 48] 
instance_zone_2 | 0.0% | [0, 1, 10, 11, 13, 21, 32, 48] 
provider-vpc-vpc | 0.0% | [0, 1, 2, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 47, 48] 
random_pet-bucket | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 44, 46, 47, 48] 
required_version | 0.0% | [0, 1, 9, 19, 34, 48] 
security_lots | 0.0% | [0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25, 27, 28, 29, 32, 33, 34, 35, 38, 41, 43, 45, 46, 48] 
security_ssh | 0.0% | [0, 1, 3, 6, 8, 10, 11, 12, 16, 17, 23, 24, 25, 26, 33, 35, 39, 43, 46, 48] 
security_ssh-instance | 0.0% | [0, 1, 5, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 27, 33, 35, 36, 37, 38, 39, 41, 42, 44, 45, 46, 47, 48] 
security_web | 0.0% | [0, 13, 14, 21, 22, 41, 44, 48] 
security_web-instance | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 37, 41, 42, 43, 44, 45, 46, 47, 48] 
service_quota | 0.0% | [0, 1, 2, 4, 5, 7, 8, 10, 11, 12, 15, 16, 17, 18, 19, 21, 22, 25, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 40, 42, 44, 46, 48] 
