Task | Success rate | Errors
bucket | 0.0% | [0, 1, 10, 11, 12, 14, 23, 31, 33, 36, 43, 47, 56, 60, 62, 65, 81, 87, 88] 
bucket-bucket_log | 0.0% | [0, 1, 2, 3, 7, 10, 11, 14, 16, 80] 
bucket-bucket_object | 0.0% | [0, 1, 2, 3, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 44, 45, 47, 48, 49, 50, 57, 58, 60, 61, 62, 63, 64, 65, 66, 68, 69, 71, 72, 79, 80, 82, 83, 84, 85, 86, 87, 88, 90, 93, 95, 96] 
bucket_state_import | 0.0% | [0, 1, 12, 13, 16, 18, 23, 26, 27, 81, 89, 96] 
customer_gateway | 0.0% | [0, 2, 3, 12, 13, 14, 20, 41] 
data_ami | 0.0% | [0, 10, 18, 24] 
data_ami-instance | 0.0% | [0, 1, 12, 13, 23, 24, 32, 37, 39, 44, 45, 47, 60, 64] 
db_instance | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99] 
elb | 0.0% | [0, 1, 2, 3, 5, 7, 9, 10, 11, 12, 13, 16, 17, 18, 20, 22, 23, 25, 27, 28, 30, 32, 33, 35, 39, 40, 41, 43, 46, 48, 53, 54, 59, 60, 66, 67, 69, 75, 77, 78, 81, 84, 85, 91, 95] 
iam_user | 0.0% | [0, 1, 13, 14, 17, 19, 24, 25, 35, 38, 39, 60, 67, 71, 77] 
instance | 100.0% | [] 
instance-output_dns | 0.0% | [0, 10, 11, 20, 30, 33, 41, 53, 55, 62, 65, 66] 
instance-output_ip | 0.0% | [0, 1, 4, 11, 15, 16, 21, 26, 30, 31, 38, 45, 46, 48, 55, 56, 64, 77, 78, 84] 
instance-time | 0.0% | [0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 26, 28, 29, 31, 34, 35, 37, 38, 39, 40, 41, 43, 45, 46, 47, 50, 51, 52, 53, 54, 56, 57, 59, 60, 61, 64, 65, 68, 71, 72, 74, 75, 76, 77, 80, 81, 84, 86, 87, 89, 94, 96, 97, 98] 
instance_before_destroy | 0.0% | [0, 1, 2, 3, 4, 8, 30, 31, 52, 55, 59, 60, 77, 94] 
instance_connection | 0.0% | [0, 1] 
instance_count | 0.0% | [0, 1] 
instance_ignore_tags | 0.0% | [0] 
instance_prevent_destroy | 0.0% | [0, 1, 10, 15, 18, 19, 21, 22, 30, 47, 53, 55, 61, 68, 70, 78, 84, 85, 90] 
instance_zone_1 | 0.0% | [0, 1, 7, 8, 78, 93, 94] 
instance_zone_2 | 0.0% | [0, 1, 2, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 31, 32, 34, 35, 36, 37, 38, 39, 41, 42, 43, 47, 48, 51, 52, 54, 55, 57, 64, 65, 68, 69, 71, 73, 75, 77, 79, 82, 84, 85, 87, 90, 99] 
provider-vpc-vpc | 0.0% | [0, 1, 5, 8, 9, 10, 11, 13, 14, 17, 18, 19, 20, 23, 24, 25, 26, 28, 32, 35, 36, 37, 38, 40, 41, 42, 43, 44, 49, 50, 54, 65, 69, 75, 76, 77, 80, 83, 90, 94] 
random_pet-bucket | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 51, 52, 54, 55, 56, 57, 60, 63, 64, 65, 66, 67, 68, 69, 71, 72, 73, 74, 77, 78, 80, 81, 82, 83, 84, 87, 88, 89, 90, 91, 92, 93, 94, 96, 97, 98, 99] 
required_version | 0.0% | [0, 14] 
security_lots | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67, 68, 69, 70, 72, 73, 75, 76, 77, 78, 79, 81, 82, 83, 86, 87, 88, 89, 90, 91, 92, 94, 95, 96, 97, 99] 
security_ssh | 0.0% | [0, 1, 3, 4, 6, 7, 8, 10, 12, 14, 15, 16, 17, 19, 23, 30, 32, 35, 46, 48, 49, 62, 66, 71, 78, 79, 82, 85, 93, 97] 
security_ssh-instance | 0.0% | [0, 1, 2, 10, 11, 12, 13, 14, 15, 17, 18, 20, 25, 27, 29, 31, 32, 34, 38, 39, 42, 44, 45, 47, 54, 55, 61, 65, 70, 80, 83, 86, 88, 94] 
security_web | 0.0% | [0, 1, 4, 10, 14, 15, 17, 20, 23, 24, 28, 29, 31, 33, 39, 42, 44, 47, 52, 56, 57, 59, 65, 70, 71, 74, 77, 79, 80, 81, 92] 
security_web-instance | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 81, 82, 83, 84, 85, 86, 87, 89, 90, 91, 92, 93, 94, 95, 96, 97, 99] 
service_quota | 0.0% | [0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 50, 51, 53, 54, 56, 57, 58, 59, 60, 64, 68, 69, 71, 73, 74, 76, 77, 78, 80, 81, 84, 86, 91, 92, 93, 97, 99] 
variable-instance | 0.0% | [0, 1, 2, 3, 7, 9, 10, 11, 12, 13, 14, 15, 16, 20, 23, 27, 28, 32, 35, 40, 41, 44, 45, 50, 54, 56, 57, 61, 64, 65, 67, 71, 72, 80, 81, 90, 92, 96] 
variable-security_ssh-security_web-instance | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99] 
variable_condition | 0.0% | [0, 1, 4, 7, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 28, 31, 33, 39, 68, 72, 74, 76, 93, 97] 
variable_map | 0.0% | [0, 1, 2, 5, 8, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 24, 26, 31, 34, 40, 41, 42, 44, 46, 48, 49, 50, 55, 57, 66, 67, 74, 83, 94, 95, 96, 99] 
variable_region | 1.0% | [0] 
vpc | 80.0% | [1, 3, 5, 10, 11, 14, 16, 17, 18, 20, 22, 30, 32, 34, 41, 49, 61, 71, 77, 96] 
vpc-default_network_acl | 0.0% | [0, 1, 2, 3, 4, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 39, 40, 42, 43, 44, 45, 46, 47, 48, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 66, 69, 70, 71, 74, 76, 77, 78, 79, 81, 87, 88, 89, 92, 97] 
vpc-egress_only_internet_gateway | 0.0% | [0, 4, 10, 13, 14, 17, 23, 25, 41, 43, 46, 48, 61, 91] 
vpc-gateway | 0.0% | [0, 1, 2, 3, 8, 10, 11, 12, 14, 15, 17, 18, 20, 21, 23, 28, 36, 38, 39, 40, 44, 46, 52, 61, 63, 64, 67, 68, 77, 78, 80, 81, 82, 83, 93] 
vpc-gateway-instance-eip | 0.0% | [0, 1, 2, 8, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 26, 31, 34, 36, 37, 40, 41, 42, 45, 46, 47, 48, 49, 51, 54, 55, 56, 65, 68, 75, 76, 80, 82, 85, 86, 87, 95, 96, 97] 
vpc-gateway-route_table-route | 0.0% | [0, 1, 2, 3, 10, 12, 13, 14, 16, 20, 21, 22, 23, 25, 31, 32, 35, 38, 41, 44, 55, 58, 59, 64, 65, 67, 70, 72, 78, 84, 85, 87, 90, 95] 
vpc-service_discovery_private_dns | 0.0% | [0, 2, 3, 7, 11, 15, 19, 20, 21, 22, 24, 34, 41, 44, 46, 53, 58, 76, 81] 
vpc-subnet | 0.0% | [0, 1, 2, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 38, 40, 41, 42, 43, 44, 45, 46, 49, 53, 54, 55, 56, 57, 61, 64, 66, 67, 68, 74, 76, 77, 79, 85, 92, 95, 96] 
vpc-subnet-instance | 0.0% | [0, 1, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 52, 53, 57, 61, 64, 65, 66, 67, 68, 71, 72, 77, 78, 80, 81, 84, 85, 86, 87, 88, 99] 
vpc-subnet-nat | 0.0% | [0, 1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 27, 28, 29, 30, 31, 32, 34, 35, 36, 38, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 64, 65, 66, 67, 68, 72, 73, 76, 77, 79, 80, 83, 84, 85, 86, 87, 88, 89, 90, 92, 93, 94, 97, 98] 
vpc-vpn-customer_gateway | 0.0% | [0, 1, 4, 8, 9, 10, 13, 14, 16, 26, 29, 30, 33, 38, 39, 41, 44, 61, 62, 66, 68, 72, 75, 79, 84, 85, 90, 92, 93, 94] 
vpc-vpn-customer_gateway-connection | 0.0% | [0, 3, 4, 11, 12, 14, 17, 19, 21, 24, 32, 36, 37, 48, 57, 71, 72, 73, 75, 81, 83, 85, 86, 87, 91] 
wafv2_ip_set | 0.0% | [0, 1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 40, 41, 44, 46, 47, 48, 49, 51, 52, 54, 56, 57, 58, 59, 61, 62, 66, 70, 71, 72, 74, 75, 77, 81, 83, 85, 86, 87, 90, 91, 94, 96, 97, 98, 99] 
workspaces_ip_group | 0.0% | [0, 4, 10, 11, 12, 13, 14, 17, 18, 19, 20, 26, 31, 32, 35, 36, 37, 38, 42, 44, 45, 52, 55, 56, 59, 63, 65, 69, 70, 76, 78, 80, 81, 88, 89] 
Average success rate 3.693877551020408%
