Task | Success rate | Errors
bucket | 100.0% | [] 
bucket-bucket_log | 100.0% | [] 
bucket-bucket_object | 0.0% | [0, 2, 13] 
bucket_state_import | 100.0% | [] 
customer_gateway | 100.0% | [] 
data_ami | 0.0% | [0, 2, 10, 11, 12, 14, 28, 32, 43] 
data_ami-instance | 0.0% | [0, 11, 13, 14, 15, 25] 
db_instance | 0.0% | [0, 1, 10, 11, 13, 19, 21, 24, 35, 36, 37, 54] 
elb | 0.0% | [0, 1, 2, 12, 13, 19, 20, 22, 24, 25, 26, 31, 37, 41, 49] 
iam_user | 0.0% | [0, 10, 20, 34, 45, 49] 
instance | 0.0% | [0] 
instance-output_dns | 100.0% | [] 
instance-output_ip | 100.0% | [] 
instance-time | 0.0% | [0, 1, 11] 
instance_before_destroy | 100.0% | [] 
instance_connection | 100.0% | [] 
instance_count | 100.0% | [] 
instance_ignore_tags | 100.0% | [] 
instance_prevent_destroy | 98.33333333333333% | [22] 
instance_zone_1 | 100.0% | [] 
instance_zone_2 | 100.0% | [] 
provider-vpc-vpc | 83.33333333333334% | [11, 22, 49] 
random_pet-bucket | 100.0% | [] 
required_version | 0.0% | [0] 
security_lots | 8.333333333333332% | [0, 1, 2, 3, 5, 9, 10, 11, 13, 14, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 31, 39, 42, 43, 44, 47, 48, 49, 50, 51, 53, 56, 59] 
security_ssh | 0.0% | [0, 1, 3, 4, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 28, 29, 30, 31, 32, 33, 35, 36, 37, 40, 41, 42, 43, 44, 46, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59] 
security_ssh-instance | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58] 
security_web | 0.0% | [0, 1, 2, 3, 7, 10, 11, 14, 15, 16, 18, 19, 22, 23, 25, 26, 27, 28, 30, 31, 33, 35, 37, 38, 40, 41, 42, 43, 44, 47, 50, 51, 57] 
security_web-instance | 0.0% | [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 34, 35, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 59] 
service_quota | 100.0% | [] 
variable-instance | 100.0% | [] 
variable-security_ssh-security_web-instance | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59] 
variable_condition | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 17, 18, 19, 20, 23, 24, 26, 27, 29, 30, 31, 36, 39, 40, 41, 43, 44, 45, 48, 49, 50, 51, 53, 55, 56, 57, 59] 
variable_map | 0.0% | [0, 1, 22, 35] 
variable_region | 98.33333333333333% | [47] 
vpc | 100.0% | [] 
vpc-default_network_acl | 46.666666666666664% | [0, 1, 6, 17, 18, 20, 22, 23, 25, 26, 27, 34, 37, 50, 51, 55] 
vpc-egress_only_internet_gateway | 100.0% | [] 
vpc-gateway | 75.0% | [1, 12, 17, 19, 43] 
vpc-gateway-instance-eip | 10.0% | [0, 1, 2, 8, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 34, 35, 37, 42, 44, 45, 49, 50, 53, 56, 57, 58, 59] 
vpc-gateway-route_table-route | 85.0% | [2, 11, 24, 32, 39, 43, 45, 48] 
vpc-service_discovery_private_dns | 100.0% | [] 
vpc-subnet | 53.333333333333336% | [0, 2, 7, 11, 18, 20, 21, 26, 28, 31, 34, 42, 45, 47, 48, 50, 52, 53, 57] 
vpc-subnet-instance | 8.333333333333332% | [1, 10, 11, 14, 15, 18, 23, 26, 27, 37, 38, 51] 
vpc-subnet-nat | 0.0% | [0, 1, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 26, 27, 29, 30, 31, 33, 34, 35, 36, 38, 39, 40, 41, 43, 45, 48, 49, 51, 52, 57, 58, 59] 
vpc-vpn-customer_gateway | 98.33333333333333% | [44] 
vpc-vpn-customer_gateway-connection | 100.0% | [] 
wafv2_ip_set | 0.0% | [0, 1, 3, 11, 15, 17, 18, 19, 20, 22, 23, 24, 25, 29, 31, 33, 35, 36, 37, 40, 46, 49, 54, 57, 59] 
workspaces_ip_group | 18.333333333333332% | [1, 2, 6, 9, 11, 15, 16, 17, 21, 23, 25, 26, 28, 35, 41, 43, 46, 47, 50, 59] 
Average success rate 52.721088435374156%
