Task | Success rate | Errors | Distribution
bucket | 0.0% | [0, 1, 34, 53] | [2, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
bucket-bucket_log | 0.0% | [0, 1, 2, 16, 21, 23, 25, 32, 40] | [5, 11, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 13, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
bucket-bucket_object | 0.0% | [0, 4, 10, 14, 18, 19, 20, 36, 50] | [5, 0, 30, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
bucket_state_import | 0.0% | [0, 1, 10, 13, 21, 26, 38, 40, 41] | [2, 10, 28, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
customer_gateway | 0.0% | [0, 14, 16, 20, 21, 25, 46] | [39, 0, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
data_ami | 0.0% | [0, 12, 19, 24, 33, 34, 36, 37] | [31, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
data_ami-instance | 0.0% | [0, 2, 12, 14, 18, 21, 25, 26, 29, 34, 49, 50] | [29, 0, 0, 0, 3, 0, 2, 0, 0, 0, 2, 0, 3, 0, 4, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]
db_instance | 0.0% | [0, 1, 10, 13, 18] | [6, 1, 27, 0, 0, 13, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
elb | 0.0% | [0, 13, 20, 21, 28, 45, 47] | [27, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 17, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]
iam_user | 0.0% | [0, 1, 11, 18] | [22, 25, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
instance | 0.0% | [0, 12, 13, 34, 35] | [46, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
instance-output_dns | 0.0% | [0, 10, 15, 20, 29, 49] | [24, 0, 10, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
instance-output_ip | 0.0% | [0] | [50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
instance-time | 0.0% | [0, 1, 13, 17, 46] | [5, 39, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
instance_before_destroy | 0.0% | [0, 11, 12, 14, 20, 26, 28] | [22, 0, 0, 1, 2, 0, 14, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
instance_connection | 0.0% | [0, 1, 19, 20, 38] | [37, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
instance_count | 0.0% | [0, 1, 12, 15, 31, 41] | [33, 2, 0, 0, 3, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
instance_ignore_tags | 0.0% | [0, 2, 3, 11, 13, 20, 23, 41] | [12, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 28, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
instance_prevent_destroy | 0.0% | [0, 1, 5, 11, 12, 15, 16, 17, 18, 21, 25, 29, 33, 34, 38, 53] | [3, 15, 0, 3, 3, 0, 0, 6, 1, 1, 8, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]
instance_zone_1 | 0.0% | [0, 1] | [7, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
instance_zone_2 | 0.0% | [0, 12, 16, 32] | [34, 0, 0, 0, 11, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
provider-vpc-vpc | 0.0% | [0, 1, 10, 14, 24, 29, 32] | [5, 5, 36, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
random_pet-bucket | 0.0% | [0, 1, 10, 11, 15, 20, 21, 22, 23, 24, 25, 27, 29, 31, 32, 33, 36, 38, 41, 45, 47, 49, 50, 52] | [3, 13, 2, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 2, 6, 1, 1, 0, 2, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 2, 0, 1, 0, 1, 0, 1, 0]
required_version | 0.0% | [0, 1, 2, 10, 11, 15, 16, 20, 21, 46, 49, 53] | [2, 1, 12, 14, 0, 0, 0, 9, 2, 0, 0, 0, 1, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
security_lots | 0.0% | [0, 10, 13, 36, 39, 41, 48] | [37, 0, 6, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
security_ssh | 0.0% | [0, 1, 10, 11, 13, 15, 17, 18, 19, 20, 22, 28, 31, 35, 39, 40, 41] | [3, 1, 4, 9, 0, 7, 0, 11, 0, 1, 1, 5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
security_ssh-instance | 0.0% | [0, 1, 2, 4, 5, 10, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 29, 31, 32, 33, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 51, 52, 53] | [3, 1, 1, 2, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 3, 3, 1, 1, 1, 0, 2, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]
security_web | 0.0% | [0, 1, 2, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 29, 31, 32, 34, 35, 36, 37, 38, 50, 51] | [6, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 0, 12, 0, 0, 0, 2, 0, 0, 1, 2, 0, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]
security_web-instance | 0.0% | [0, 1, 2, 3, 4, 5, 11, 13, 19, 21, 22, 23, 24, 26, 29, 30, 31, 33, 34, 37, 38, 39, 40, 43, 44, 45, 48, 49, 52, 53] | [4, 3, 0, 6, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 2, 3, 1, 0, 1, 0, 0, 2, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 5, 0, 0, 1, 2, 2, 0, 0, 1, 1, 1, 0, 0, 1, 1]
service_quota | 0.0% | [0, 1, 4, 13, 14, 15, 16, 21, 30, 31, 34, 40, 42, 44, 47] | [22, 7, 0, 0, 0, 1, 1, 2, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 5, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
variable-instance | 0.0% | [0, 12, 18, 40, 41, 42, 45, 46, 47, 48, 50, 51, 52, 53] | [33, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 0, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1]
variable-security_ssh-security_web-instance | 0.0% | [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 29, 32, 34, 38, 43, 47, 49] | [1, 1, 1, 1, 10, 0, 2, 1, 2, 1, 0, 1, 7, 2, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1]
variable_condition | 0.0% | [0, 1, 2, 11, 18, 19, 22, 25, 26, 32, 38, 42] | [26, 2, 0, 1, 0, 0, 0, 0, 0, 0, 3, 1, 8, 0, 0, 1, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
variable_map | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 19, 20, 21, 23, 24, 25, 26, 31, 33, 34, 35, 38, 39, 41, 42, 43, 44, 45, 47] | [1, 4, 3, 1, 8, 1, 1, 1, 0, 0, 0, 2, 1, 1, 4, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 2, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]
variable_region | 0.0% | [0, 12, 21, 24, 45] | [41, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
vpc | 0.0% | [0, 1, 10, 11, 12, 14, 20, 28, 44, 50] | [1, 3, 1, 14, 2, 0, 7, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
vpc-default_network_acl | 0.0% | [0, 1, 10, 11, 12, 13, 17, 18, 27, 28, 38, 39] | [5, 22, 1, 8, 4, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
vpc-egress_only_internet_gateway | 0.0% | [0, 13, 17, 19, 20, 36, 40, 42] | [25, 0, 0, 0, 0, 5, 0, 0, 0, 1, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 13, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
vpc-gateway | 0.0% | [0, 1, 3, 11, 15] | [44, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
vpc-gateway-instance-eip | 0.0% | [0, 2, 3, 18, 22, 36] | [42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
vpc-gateway-route_table-route | 0.0% | [0, 1, 10, 12, 13, 14, 16, 24, 36] | [32, 1, 3, 0, 3, 4, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
vpc-service_discovery_private_dns | 0.0% | [0, 1, 5, 11, 23, 31, 34, 47, 50, 52] | [2, 38, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0]
vpc-subnet | 0.0% | [0, 36, 47] | [46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]
vpc-subnet-instance | 0.0% | [0, 3, 13, 16, 36, 53] | [42, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
