Task | Success rate | Errors | Distribution
bucket | 0.0% | [0, 1, 2, 6, 10, 11, 12, 15, 16, 17, 19, 20, 21, 22, 24, 28, 29, 30, 32, 34, 44, 47] | [1, 5, 10, 8, 1, 0, 0, 1, 4, 1, 0, 4, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]
bucket-bucket_log | 0.0% | [0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 47, 49] | [1, 2, 1, 1, 1, 1, 2, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1]
bucket-bucket_object | 0.0% | [0, 1, 2, 3, 4, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 45, 46, 48, 49] | [1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 2, 7, 0, 0, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0]
bucket_state_import | 0.0% | [0, 1, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 29, 30, 32, 33, 34, 36, 38, 42, 43, 45, 49] | [2, 1, 1, 6, 4, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 0, 1, 1, 0, 1, 2, 4, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 2, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]
customer_gateway | 0.0% | [0, 1, 8, 10, 11, 12, 16, 19, 20, 33, 35, 40, 42] | [1, 1, 11, 1, 22, 0, 0, 0, 1, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
data_ami | 0.0% | [0] | [50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
data_ami-instance | 0.0% | [0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 22, 23, 24, 28, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 44, 45, 48] | [1, 2, 1, 3, 4, 0, 1, 1, 1, 1, 1, 0, 2, 1, 0, 1, 3, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 3, 3, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 1, 1, 1]
db_instance | 0.0% | [0, 1, 2, 7, 10, 11, 12, 15, 24, 28, 36, 43, 46, 49] | [28, 1, 3, 7, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]
elb | 0.0% | [0, 1, 11] | [12, 19, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iam_user | 0.0% | [0, 1, 2, 3, 6, 8, 9, 10, 12, 13, 15, 16, 17, 19, 20, 22, 25, 27, 28, 29, 30, 31, 35, 40, 48] | [8, 2, 1, 0, 1, 9, 0, 4, 1, 1, 0, 1, 1, 1, 0, 3, 0, 0, 1, 0, 2, 2, 1, 1, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]
