Task | Success rate | Errors
automation_account | 0.0% | [0, 1, 2, 3, 5, 10, 11, 12, 14, 19, 20, 21, 22, 27, 28, 29, 35, 36, 38, 41, 42, 43, 44, 49, 51, 53] | [3, 4, 10, 1, 6, 0, 1, 0, 0, 0, 0, 2, 1, 4, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]
azurerm_image | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
client_config | 0.0% | [0, 1, 2, 5, 10, 11, 13, 14, 15, 17, 18, 20, 21, 23, 24, 25, 26, 29, 31, 33, 34, 36, 39, 42, 44, 46, 47, 48, 49, 51, 52] | [1, 1, 9, 5, 0, 1, 1, 2, 0, 3, 1, 0, 1, 1, 2, 0, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0]
client_config-bot_channels | 0.0% | [0, 1, 10, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53] | [13, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]
cognitive_account | 0.0% | [0, 3, 5, 10, 11, 12, 13, 14, 16, 17, 19, 23, 27, 31, 33, 34, 35, 36, 40, 43, 46, 47, 48, 49, 52, 53] | [15, 0, 1, 1, 1, 2, 3, 0, 3, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 4, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1]
cognitive_account-client_config-bot_channels | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 51, 52, 53] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
cognitive_account-client_config-bot_channels-line_speech | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
container_registry | 0.0% | [0, 10, 13, 16, 19, 20, 28, 33, 37, 40, 41, 42, 49, 50, 52, 53] | [15, 0, 4, 0, 0, 2, 0, 0, 7, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 7, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 1]
iothub | 0.0% | [0, 4, 10, 12, 14, 17, 21, 22, 23, 24, 26, 29, 37, 38, 40, 41, 42, 43, 44, 45, 48, 50, 53] | [9, 0, 3, 0, 2, 0, 3, 0, 0, 5, 0, 0, 0, 0, 1, 1, 2, 1, 0, 5, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 4, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]
iothub-iot_security | 0.0% | [0, 3, 10, 11, 12, 13, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 47, 50, 51, 52, 53] | [4, 0, 2, 11, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 1, 1, 1]
