Task | Success rate | Errors
automation_account | 100.0% | [] | [8, 10, 2, 6, 1, 0, 0, 0, 1, 0, 3, 0, 4, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 2, 6, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
azurerm_image | 70.0% | [1, 2, 20, 21, 24, 25, 35, 45, 46, 50] | [1, 3, 2, 1, 4, 6, 0, 1, 0, 4, 2, 1, 3, 2, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0]
client_config | 98.0% | [1] | [5, 1, 1, 12, 11, 9, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]
client_config-bot_channels | 0.0% | [0, 1, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 26, 27, 30, 32, 33, 35, 36, 38, 39, 40, 41, 42, 43, 44, 46, 50, 51, 52, 53] | [2, 2, 1, 1, 1, 1, 1, 7, 1, 1, 2, 2, 1, 0, 0, 1, 4, 0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1]
cognitive_account | 74.0% | [2, 14, 16, 20, 25, 28, 43] | [4, 3, 0, 1, 0, 2, 1, 9, 6, 0, 0, 0, 2, 1, 0, 1, 1, 2, 1, 2, 1, 1, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]
cognitive_account-client_config-bot_channels | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
cognitive_account-client_config-bot_channels-line_speech | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
container_registry | 40.0% | [1, 2, 3, 10, 13, 15, 17, 19, 24, 35, 36, 44, 45] | [1, 1, 5, 4, 0, 8, 2, 1, 1, 3, 3, 1, 4, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 3, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
iothub | 2.0% | [0, 1, 3, 4, 5, 10, 11, 12, 13, 14, 15, 20, 21, 22, 23, 29, 31, 34, 44, 48, 49, 50] | [5, 1, 2, 2, 1, 1, 2, 10, 0, 0, 0, 0, 0, 2, 3, 2, 4, 0, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0]
iothub-iot_security | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52, 53] | [1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]
kubernetes_cluster | 78.0% | [14, 15, 24, 27, 38, 40, 41, 42, 44, 46, 48] | [1, 4, 1, 7, 0, 0, 1, 1, 3, 1, 6, 1, 3, 3, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0]
