Task | Success rate | Errors
automation_account | 0.0% | [0, 1, 3, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 29, 30, 32, 33, 34, 35, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52] | [2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 7, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0]
azurerm_image | 0.0% | [0, 1, 2, 3, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 33, 34, 36, 38, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 53] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 6, 1, 1, 1, 1, 0, 2, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]
client_config | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 29, 30, 32, 33, 34, 35, 37, 38, 40, 42, 44, 46, 48, 49, 50, 52, 53] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 8, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1]
client_config-bot_channels | 0.0% | [0, 1, 2, 5, 10, 11, 13, 14, 15, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 35, 36, 38, 39, 41, 42, 44, 46, 47, 48, 50, 51, 52] | [1, 7, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 0, 5, 0, 2, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]
cognitive_account | 0.0% | [0, 1, 2, 3, 5, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 27, 30, 31, 32, 34, 35, 37, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 52, 53] | [1, 1, 1, 2, 2, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 6, 0, 1, 0, 0, 1, 2, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 0, 1, 1, 0, 1, 1]
cognitive_account-client_config-bot_channels | 0.0% | [0, 1, 4, 10, 13, 14, 15, 16, 17, 20, 21, 22, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 49, 52, 53] | [2, 1, 5, 0, 0, 1, 3, 1, 1, 1, 0, 0, 0, 2, 7, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 4, 1, 2, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1]
cognitive_account-client_config-bot_channels-line_speech | 0.0% | [0, 1, 2, 4, 5, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 22, 23, 26, 30, 33, 35, 36, 37, 40, 41, 42, 45, 47, 52, 53] | [1, 1, 3, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 6, 0, 5, 3, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 4, 2, 3, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 1, 1]
container_registry | 0.0% | [0, 1, 2, 3, 4, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 24, 26, 28, 40, 42, 43, 44, 46, 47, 48, 49, 50, 51] | [3, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 17, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 1, 4, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0]
iothub | 0.0% | [0, 1, 2, 4, 10, 11, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 47, 48, 49] | [1, 4, 1, 2, 0, 0, 2, 1, 1, 0, 2, 0, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 0, 1, 3, 0, 1, 1, 1, 0, 0, 0, 0, 0]
iothub-iot_security | 0.0% | [0, 1, 2, 4, 5, 11, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52, 53] | [1, 4, 0, 1, 0, 1, 2, 1, 1, 0, 0, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]
