Task | Success rate | Errors | Distribution
automation_account | 0.0% | [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 16, 17, 19, 20, 22, 23, 24, 26, 29, 32, 34, 37, 39, 44, 45, 48, 49] | [3, 1, 1, 6, 1, 0, 1, 0, 1, 6, 0, 2, 6, 1, 0, 2, 1, 1, 0, 3, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1]
azurerm_image | 0.0% | [0, 1, 5, 10, 11, 12, 13, 15, 17, 18, 19, 22, 23, 24, 25, 26, 31, 35, 36, 37, 38, 39, 41, 42, 45, 48] | [6, 1, 1, 1, 2, 4, 0, 1, 0, 7, 1, 6, 0, 0, 0, 1, 1, 3, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0]
client_config | 0.0% | [0, 1, 11, 12, 24, 25, 34, 37] | [8, 29, 0, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
client_config-bot_channels | 0.0% | [0, 1, 3, 5, 6, 7, 9, 10, 11, 12, 13, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 28, 29, 32, 35, 36, 38, 40, 42, 43, 45, 46, 48, 49] | [6, 8, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 2, 1, 1, 2, 2, 1, 0, 2, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]
cognitive_account | 0.0% | [0, 1, 8, 12, 15, 16, 18, 20, 24, 38, 46, 48] | [17, 1, 0, 0, 4, 0, 0, 13, 4, 0, 4, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0]
cognitive_account-client_config-bot_channels | 0.0% | [0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 39, 42, 47, 48] | [1, 2, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 4, 1, 3, 1, 1, 1, 0, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1]
cognitive_account-client_config-bot_channels-line_speech | 0.0% | [0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 36, 37, 39, 40, 41, 44, 45, 46, 48, 49] | [2, 1, 2, 1, 1, 3, 2, 1, 0, 1, 1, 0, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 2, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]
container_registry | 0.0% | [0, 1, 2, 3, 4, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 29, 31, 33, 35, 36, 39, 40, 46, 48] | [1, 1, 2, 1, 1, 8, 0, 1, 1, 3, 3, 3, 1, 3, 0, 1, 1, 0, 2, 3, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0]
iothub | 0.0% | [0, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 29, 30, 31, 32, 36, 39, 41, 43, 44, 45, 46, 48] | [5, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 8, 1, 0, 2, 1, 1, 2, 2, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 2, 0, 0, 1, 0, 1, 1]
iothub-iot_security | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48] | [1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1]
