Task | Success rate | Errors
automation_account | 0.0% | [0] 
azurerm_image | 0.0% | [0, 1, 2, 3] 
client_config | 0.0% | [0, 1, 2, 3, 4] 
client_config-bot_channels | 0.0% | [0, 1, 2, 3, 4] 
cognitive_account | 80.0% | [2] 
cognitive_account-client_config-bot_channels | 0.0% | [0, 1, 2, 3, 4] 
cognitive_account-client_config-bot_channels-line_speech | 0.0% | [0, 1, 2, 3, 4] 
container_registry | 0.0% | [0, 1, 2, 3, 4] 
iothub | 0.0% | [0, 1, 2, 3, 4] 
iothub-iot_security | 0.0% | [0, 1, 2, 3, 4] 
kubernetes_cluster | 40.0% | [0, 3, 4] 
managed-disk | 0.0% | [0, 1, 2, 3, 4] 
network | 100.0% | [] 
network-subnet | 0.0% | [0, 1, 2, 3, 4] 
network-subnet-public_ip | 0.0% | [0, 1, 2, 3, 4] 
network-subnet-public_ip-firewall | 0.0% | [0, 1, 2, 3, 4] 
provider | 100.0% | [] 
public_ip-load_balancer | 0.0% | [0, 1, 2, 3, 4] 
resource_group | 80.0% | [2] 
storage_account | 0.0% | [0, 1, 2, 3, 4] 
storage_account-threat_protection | 0.0% | [0, 1, 2, 3, 4] 
Average success rate 19.047619047619047%
