Task | Success rate | Errors | Distribution
automation_account | 0.0% | [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 35, 36, 37, 39, 41, 42, 43, 44, 45, 49] | [1, 2, 1, 1, 1, 0, 1, 1, 2, 1, 1, 1, 5, 1, 1, 1, 1, 1, 2, 1, 0, 4, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 2, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1]
azurerm_image | 0.0% | [0, 1, 3, 5, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 31, 34, 37, 40, 41, 42, 48, 49, 50] | [4, 1, 0, 1, 4, 2, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 3, 1, 0, 0, 1, 0, 4, 0, 0, 1, 0, 0, 1, 0, 0, 0, 4, 2, 5, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]
client_config | 0.0% | [0, 1, 7, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23, 26, 27, 29, 30, 32, 33, 37, 42, 45] | [5, 1, 1, 6, 1, 12, 1, 0, 1, 1, 3, 0, 0, 1, 1, 0, 2, 0, 0, 2, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]
client_config-bot_channels | 0.0% | [0, 1, 2, 3, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 28, 33, 34, 35, 38, 41, 48, 49] | [1, 1, 3, 1, 1, 8, 1, 4, 1, 6, 1, 1, 2, 1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]
cognitive_account | 0.0% | [0, 1, 2, 3, 10, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22, 25, 26, 27, 28, 29, 31, 35, 43, 44, 47, 49, 50, 53] | [1, 1, 4, 3, 1, 1, 1, 0, 1, 1, 8, 1, 4, 0, 1, 1, 0, 0, 7, 1, 1, 1, 1, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1]
cognitive_account-client_config-bot_channels | 0.0% | [0, 1, 2, 4, 5, 6, 8, 10, 11, 12, 13, 15, 17, 18, 19, 20, 21, 22, 24, 29, 30, 31, 33, 34, 35, 36, 39, 40, 41, 42, 43, 48, 49] | [1, 1, 1, 10, 3, 1, 0, 1, 0, 4, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 4, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0]
cognitive_account-client_config-bot_channels-line_speech | 0.0% | [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 40, 43, 44, 45, 46, 47, 48, 49] | [1, 1, 1, 3, 1, 6, 1, 1, 1, 1, 1, 1, 0, 2, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
container_registry | 0.0% | [0, 1, 3, 5, 11, 12, 14, 20, 21, 22, 23, 25, 26, 27, 28, 33, 34, 35, 36, 37, 40, 41, 42, 43, 44, 46, 49] | [1, 5, 0, 3, 4, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 4, 1, 0, 1, 1, 3, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 2, 0, 0, 0, 1, 2, 6, 1, 2, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]
iothub | 0.0% | [0, 1, 2, 5, 10, 12, 13, 15, 20, 21, 22, 23, 24, 25, 27, 28, 30, 34, 35, 37, 38, 39, 41, 42, 43, 44, 45, 46, 48, 49, 50, 52, 53] | [1, 9, 1, 0, 3, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 3, 2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1]
iothub-iot_security | 0.0% | [0, 1, 2, 3, 5, 10, 11, 13, 14, 15, 17, 19, 20, 21, 23, 24, 25, 26, 28, 29, 31, 33, 35, 37, 40, 41, 42, 43, 44, 45, 46, 47, 48, 51, 52, 53] | [1, 1, 1, 4, 0, 1, 2, 1, 0, 1, 0, 1, 1, 3, 2, 0, 5, 1, 2, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 2, 1, 1, 1, 1, 1, 1, 2, 0, 1, 0, 1, 1, 1]
