Task | Success rate | Errors | Distribution
automation_account | 0.0% | [0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 14, 17, 18, 19, 20, 22, 23, 25, 26, 27, 29, 30, 36, 39, 41, 44, 45, 46, 49] | [2, 1, 9, 3, 1, 0, 5, 0, 0, 1, 1, 1, 1, 1, 0, 1, 2, 0, 4, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 2, 1, 1, 0, 0, 1]
azurerm_image | 0.0% | [0, 2, 3, 4, 6, 10, 14, 40, 42, 48] | [8, 0, 27, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
client_config | 0.0% | [0, 13, 16, 26, 29, 41] | [38, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
client_config-bot_channels | 0.0% | [0, 1, 2, 3, 5, 7, 9, 10, 13, 18, 19, 20, 21, 25, 29, 34, 37, 40, 44, 46, 49] | [1, 4, 14, 0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 3, 5, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1]
cognitive_account | 0.0% | [0, 20] | [47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
cognitive_account-client_config-bot_channels | 0.0% | [0, 1, 2, 6, 8, 10, 11, 12, 19, 23, 26, 40, 49] | [14, 1, 11, 9, 3, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]
cognitive_account-client_config-bot_channels-line_speech | 0.0% | [0, 2, 10, 11, 19, 20, 21, 22, 23, 24, 28, 32, 36, 48] | [18, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11, 1, 2, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
container_registry | 0.0% | [0, 19] | [44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iothub | 0.0% | [0, 3, 10, 31, 38, 39] | [10, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iothub-iot_security | 0.0% | [0, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 25, 26, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 41, 42, 44, 46, 47] | [13, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1]
