terraform {
  required_providers {
    google = {
      source = "hashicorp/google"
    }
  }
}

# google provider block 
provider "google" {
  credentials = file("${path.module}/../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../
}

# variable block
variable "project" {
  type = string
}

# local block
locals {
  # local block
  local = {
    # local block
    local = {
      # local block
      local = {
        # local block
        local = {
          # local block
          local = {
            # local block
            local = {
              # local block
              local = {
                # local block
                local = {
                  # local block
                  local = {
                    # local block
                    local = {
                      # local block
                      local = {
                        # local block
                        local = {
                          # local block
                          local = {
                            # local block
                            local = {
                              # local block
                              local = {
                                # local block
                                local = {
                                  # local block
                                  local = {
                                    # local block
                                    local = {
                                      # local block
                                      local = {
                                        # local block
                                        local = {
                                          # local block
                                          local = {
                                            # local block
                                            local = {
                                              # local block
                                              local = {
                                                # local block
                                                local = {
                                                  # local block
                                                  local = {
                                                    # local block
                                                    local = {
                                                      # local block
                                                      local = {
                                                        # local block
                                                        local = {
                                                          # local block
                                                          local = {
                                                            # local block
                                                            local = {
                                                              # local block
                                                              local = {
                                                                # local block
                                                                local = {
                                                                  # local block
                                                                  local = {
                                                                    # local block
                                                                    local = {
                                                                      # local block
                                                                      local = {
                                                                        # local block
                                                                        local = {
                                                                          # local block
                                                                          local = {
                                                                            # local block
                                                                            local = {
                                                                              # local block
                                                                              local
}

