Task | Success rate | Errors
bigquery_dataset | 16.0% | [0, 1, 5, 8, 11, 15, 22, 31, 34, 40, 44, 48] | [16, 9, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0]
bucket-backend_bucket | 0.0% | [0, 2, 4, 6, 7, 8, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 25, 26, 28, 29, 30, 33, 34, 37, 38, 39, 45, 46, 47, 48] | [10, 0, 0, 6, 1, 0, 1, 1, 1, 2, 1, 0, 1, 2, 2, 1, 0, 0, 1, 1, 0, 2, 2, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 1, 1, 0]
ca_pool | 0.0% | [0, 1, 5, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 24, 29, 30, 31, 34, 35, 36, 38, 39, 41, 42, 44, 46, 48] | [5, 2, 1, 3, 3, 2, 0, 4, 1, 6, 1, 1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 2, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 1]
composer_env | 0.0% | [0, 1, 3, 15, 23, 29, 37, 40, 43, 48] | [7, 32, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
data_zones-instance | 0.0% | [0, 36, 48] | [47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
dns_policy | 0.0% | [0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48] | [1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 0, 0, 1, 1, 1]
firewall_policy | 0.0% | [0, 1, 10, 11, 12, 14, 15, 19, 24, 26, 30, 36, 44, 46, 48] | [4, 7, 1, 13, 5, 0, 1, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0]
instance | 40.0% | [0, 12, 48] | [20, 0, 17, 0, 8, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
instance-output | 0.0% | [0, 11, 16, 27, 30, 32, 37, 39, 42, 48] | [27, 0, 0, 11, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
ml-engine | 0.0% | [0, 4, 9, 28, 30, 32, 34, 37, 45, 47, 48] | [38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 1]
network-firewall | 0.0% | [0, 1, 2, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 24, 27, 33, 36, 37, 38, 42, 45, 48] | [1, 5, 8, 4, 1, 0, 2, 5, 1, 1, 0, 3, 3, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 1]
network-instance | 22.0% | [0, 1, 3, 4, 10, 11, 14, 15, 17, 19, 29, 32, 34, 37, 38, 40, 48] | [3, 1, 1, 8, 6, 0, 1, 4, 0, 1, 1, 9, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 1, 0, 0, 0]
network-route | 0.0% | [0, 1, 2, 3, 4, 7, 8, 12, 13, 14, 16, 18, 20, 21, 22, 23, 25, 34, 40, 42, 46, 47, 48] | [5, 11, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 8, 5, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 1, 0]
network-router | 40.0% | [0, 2, 7, 10, 14, 15, 17, 18, 19, 24, 28, 31, 34, 48] | [2, 1, 8, 4, 0, 0, 1, 2, 0, 4, 1, 2, 1, 0, 5, 0, 0, 2, 2, 0, 4, 1, 0, 1, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0]
network-subnetwork | 57.99999999999999% | [0, 10, 11, 19, 23, 25, 35, 38, 43, 46, 48] | [3, 0, 1, 6, 8, 1, 2, 4, 0, 0, 0, 3, 3, 1, 3, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0]
network-subnetwork-address | 0.0% | [0, 1, 3, 10, 11, 12, 13, 14, 16, 17, 18, 20, 22, 26, 27, 28, 30, 34, 35, 36, 38, 39, 40, 43, 46, 48] | [4, 4, 2, 2, 4, 4, 5, 0, 2, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 3, 2, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0]
network-vpn_gateway | 68.0% | [1, 12, 14, 21, 22, 27, 32, 40, 48] | [5, 3, 16, 0, 2, 3, 1, 0, 0, 3, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0]
network_empty | 54.0% | [0, 1, 16, 22, 43, 48] | [6, 4, 0, 13, 0, 0, 0, 0, 7, 0, 7, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0]
node_template | 0.0% | [0, 1, 2, 6, 7, 10, 11, 12, 13, 14, 17, 18, 19, 22, 23, 24, 25, 26, 27, 29, 30, 31, 33, 34, 35, 37, 39, 40, 42, 45, 47, 48] | [1, 2, 2, 2, 2, 1, 2, 0, 0, 1, 2, 2, 7, 0, 0, 3, 1, 1, 1, 1, 1, 0, 2, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 2, 0, 0, 2, 1, 0, 0]
node_template-node_group | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1]
notebook_env | 0.0% | [0, 11, 13, 15, 17, 36, 46, 48] | [37, 0, 0, 6, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0]
notebook_instance | 0.0% | [0, 1, 17, 23, 28, 34, 48] | [18, 23, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
provider | 96.0% | [48] | [24, 8, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
sql_instance-sql_database | 0.0% | [0, 1, 2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30, 32, 33, 34, 37, 38, 40, 41, 42, 44, 45, 47, 48] | [1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 0, 1, 0, 1, 5, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 2, 0, 1, 0, 1, 0, 0]
Average success rate 16.416666666666664%
