Task | Success rate | Errors
bigquery_dataset | 6.0% | [0, 1, 4, 10, 11, 12, 13, 19, 44, 46, 53] | [4, 11, 6, 8, 10, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]
bucket-backend_bucket | 0.0% | [0, 1, 2, 3, 4, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 25, 26, 30, 33, 34, 35, 36, 37, 39, 40, 43, 44, 45, 47, 48, 49, 52, 53] | [1, 1, 1, 2, 3, 1, 5, 2, 1, 0, 2, 2, 1, 2, 0, 1, 2, 0, 1, 3, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 2, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1]
ca_pool | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
composer_env | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 48, 49, 51, 52] | [1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0]
data_zones-instance | 0.0% | [0, 1, 2, 3, 4, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 27, 30, 34, 35, 38, 40, 45, 46, 49] | [1, 1, 1, 4, 6, 5, 2, 10, 1, 0, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]
dns_policy | 8.0% | [0, 2, 3, 11, 13, 14, 17, 18, 20, 22, 23, 26, 28, 29, 31, 36, 40, 45, 46] | [13, 4, 0, 2, 0, 1, 2, 0, 0, 3, 2, 0, 1, 1, 0, 1, 2, 0, 0, 1, 0, 3, 6, 1, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
firewall_policy | 0.0% | [0, 1, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 32, 34, 37, 40, 41, 42, 43, 44, 46, 48, 50, 51, 52] | [1, 1, 1, 1, 4, 1, 1, 3, 3, 3, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 1, 1, 1, 1, 1, 2, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0]
instance | 2.0% | [0, 1, 3, 4, 6, 7, 8, 10, 12, 14, 15, 16, 18, 20, 22, 23, 24, 26, 29, 32, 33, 35, 36, 38, 39, 41, 44, 45] | [7, 1, 2, 0, 2, 1, 3, 2, 2, 0, 4, 0, 0, 4, 0, 1, 1, 1, 0, 1, 0, 0, 1, 2, 0, 0, 1, 2, 0, 1, 2, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]
instance-output | 2.0% | [0, 1, 2, 3, 5, 10, 11, 12, 13, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31, 33, 34, 36, 38, 40, 42, 43, 44, 46, 47, 50, 52, 53] | [2, 2, 1, 2, 4, 1, 0, 0, 1, 2, 1, 0, 1, 1, 1, 2, 1, 1, 1, 1, 3, 0, 4, 1, 1, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1]
ml-engine | 2.0% | [0, 1, 3, 4, 12, 13, 14, 15, 16, 18, 19, 20, 22, 25, 27, 28, 31, 36, 40, 42, 50] | [1, 6, 0, 0, 3, 7, 1, 1, 9, 0, 3, 3, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
