Task | Success rate | Errors
bigquery_dataset | 8.0% | [0, 2, 3, 11, 12, 14, 19, 20, 21, 28, 33, 36, 46] | [14, 0, 4, 4, 10, 0, 5, 0, 0, 0, 0, 2, 3, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
bucket-backend_bucket | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 24, 26, 27, 28, 29, 30, 31, 32, 34, 36, 40, 43, 44, 47, 49, 50, 52] | [1, 5, 1, 2, 3, 1, 2, 1, 1, 1, 1, 0, 1, 2, 6, 0, 0, 2, 0, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0]
ca_pool | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
composer_env | 2.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 45, 46, 48, 49] | [1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]
data_zones-instance | 0.0% | [0, 1, 2, 10, 11, 12, 13, 14, 16, 18, 19, 20, 28, 30, 31, 33, 34, 39, 45, 49] | [2, 6, 1, 1, 1, 11, 2, 0, 2, 0, 2, 7, 1, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
dns_policy | 8.0% | [0, 1, 2, 10, 12, 14, 16, 17, 18, 19, 23, 24, 29, 32, 34, 45, 49, 50, 51, 52, 53] | [3, 4, 8, 0, 3, 0, 1, 0, 1, 4, 1, 3, 3, 0, 0, 0, 3, 1, 1, 3, 0, 0, 1, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1]
firewall_policy | 0.0% | [0, 1, 2, 3, 4, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 39, 40, 45, 48, 51] | [4, 1, 5, 0, 1, 2, 0, 3, 1, 2, 1, 2, 1, 2, 3, 1, 0, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0]
instance | 8.0% | [0, 1, 4, 10, 12, 13, 15, 16, 17, 20, 21, 24, 25, 26, 29, 30, 31, 33, 34, 36, 39, 45] | [6, 1, 3, 0, 8, 1, 0, 1, 1, 1, 0, 0, 0, 5, 1, 1, 0, 3, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 3, 0, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0]
instance-output | 2.0% | [0, 1, 3, 4, 10, 12, 13, 14, 15, 17, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 47, 48, 49, 53] | [1, 2, 5, 0, 2, 2, 1, 2, 0, 2, 0, 1, 1, 1, 0, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1]
ml-engine | 4.0% | [0, 1, 2, 3, 5, 10, 11, 13, 14, 15, 17, 18, 19, 21, 22, 25, 29, 30, 32, 33, 41, 45, 47, 53] | [2, 4, 3, 1, 0, 6, 1, 4, 0, 1, 4, 2, 2, 0, 1, 3, 0, 0, 1, 0, 0, 0, 2, 3, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 0, 1]
