Task | Success rate | Errors
bigquery_dataset | 0.0% | [0, 1, 2, 4, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48, 53] | [3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 0, 0, 1, 2, 2, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]
bucket-backend_bucket | 0.0% | [0, 1, 3, 4, 5, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 35, 36, 37, 40, 41, 42, 43, 44, 46, 48, 49, 50, 53] | [1, 1, 3, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 3, 4, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 3, 1, 1, 0, 1, 0, 1, 1, 1, 3, 0, 0, 1]
ca_pool | 0.0% | [0, 1, 2, 4, 5, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 34, 36, 46, 48, 49, 51] | [10, 6, 0, 1, 1, 0, 1, 1, 0, 2, 1, 1, 2, 1, 1, 1, 1, 5, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 1, 0, 0]
composer_env | 0.0% | [0, 1, 4, 5, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 44, 46, 48, 49, 53] | [2, 2, 1, 1, 2, 1, 1, 1, 2, 0, 1, 0, 0, 1, 3, 3, 2, 1, 1, 1, 0, 1, 1, 0, 1, 0, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 2, 0, 1, 1, 1, 0, 0, 0, 1]
data_zones-instance | 0.0% | [0, 2, 3, 4, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 24, 25, 28, 29, 30, 31, 34, 38, 41, 42, 43, 46, 49, 51, 52, 53] | [7, 0, 6, 0, 1, 1, 1, 2, 0, 2, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 2, 1, 1, 2, 4, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 2, 1, 0, 0, 2, 0, 0, 1, 0, 0, 1, 1, 1]
dns_policy | 0.0% | [0, 1, 2, 5, 10, 11, 12, 13, 15, 16, 17, 19, 20, 23, 24, 26, 27, 28, 30, 32, 33, 34, 35, 37, 39, 40, 41, 42, 43, 44, 45, 47, 49] | [3, 1, 2, 2, 1, 1, 0, 1, 2, 6, 0, 1, 1, 4, 0, 0, 1, 2, 0, 2, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 2, 1, 1, 1, 1, 1, 0, 2, 0, 1, 1, 0, 0, 0, 0]
firewall_policy | 0.0% | [0, 1, 2, 3, 5, 10, 11, 12, 13, 14, 16, 17, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 35, 36, 37, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 51, 52, 53] | [1, 1, 1, 3, 2, 1, 3, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
instance | 10.0% | [0, 1, 2, 10, 11, 12, 13, 15, 16, 17, 19, 20, 23, 24, 25, 28, 29, 30, 31, 35, 38, 40, 41, 42, 44, 45, 47, 48, 49, 50, 51, 52, 53] | [1, 1, 4, 1, 2, 1, 1, 5, 1, 1, 0, 2, 2, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 3, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1]
instance-output | 0.0% | [0, 1, 2, 3, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 52] | [1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 2, 3, 3, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 2, 0, 0, 0, 1, 1, 1, 1, 0, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 0, 0, 0, 1, 0]
ml-engine | 0.0% | [0, 1, 3, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 28, 29, 30, 32, 34, 35, 38, 39, 40, 41, 42, 43, 50] | [1, 2, 1, 1, 2, 1, 3, 5, 1, 2, 4, 1, 0, 0, 0, 3, 3, 0, 0, 0, 0, 1, 1, 4, 1, 0, 3, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]
network-firewall | 0.0% | [0, 1, 2, 3, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 27, 34, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53] | [2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 3, 4, 3, 3, 0, 4, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]
network-instance | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, 27, 29, 31, 32, 35, 37, 40, 43, 46, 48, 49, 50, 51] | [5, 2, 1, 5, 1, 5, 1, 1, 1, 2, 1, 0, 1, 1, 3, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 2, 1, 1, 0, 0]
network-route | 0.0% | [0, 1, 2, 3, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 23, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 43, 48, 49, 52, 53] | [1, 1, 2, 1, 3, 1, 1, 3, 0, 1, 3, 1, 1, 0, 2, 0, 2, 0, 0, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1]
network-router | 0.0% | [0, 1, 2, 3, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 27, 28, 29, 31, 32, 33, 35, 36, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 51, 52] | [1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 0, 3, 1, 2, 1, 1, 0, 2, 2, 1, 1, 0, 1, 1, 2, 0, 1, 1, 0, 2, 0, 0, 4, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0]
network-subnetwork | 0.0% | [0, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24, 25, 26, 27, 28, 30, 31, 32, 33, 35, 36, 37, 38, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53] | [2, 0, 2, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 3, 1, 1, 0, 1, 3, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
network-subnetwork-address | 0.0% | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 50, 51, 52, 53] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1]
network-vpn_gateway | 0.0% | [0, 1, 2, 3, 4, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 28, 31, 33, 34, 36, 37, 44, 45, 46, 48, 49, 50, 53] | [4, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 5, 2, 0, 4, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 1, 1, 2, 0, 2, 1, 0, 1, 0, 0, 1]
network_empty | 0.0% | [0, 1, 2, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 31, 32, 33, 34, 37, 40, 41, 42, 44, 45, 46, 50, 52] | [2, 1, 3, 1, 4, 1, 1, 0, 3, 2, 1, 1, 1, 3, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 0, 0, 1, 0, 0, 0, 3, 3, 1, 0, 3, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0]
node_template | 0.0% | [0, 1, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30, 31, 32, 34, 35, 36, 40, 41, 42, 43, 44, 46, 48, 49, 53] | [1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 2, 1, 3, 2, 1, 1, 0, 5, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 2, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1]
