Task | Success rate | Errors
bigquery_dataset | 0.0% | [0, 1, 2, 4, 6, 9, 10, 11, 13, 15, 16, 17, 20, 21, 22, 23, 33, 35, 41, 48] | [1, 2, 6, 1, 0, 1, 0, 1, 1, 13, 0, 0, 2, 1, 8, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1]
bucket-backend_bucket | 0.0% | [0, 1, 3, 4, 9, 11, 12, 14, 15, 17, 19, 20, 23, 25, 36] | [1, 9, 0, 5, 1, 0, 5, 1, 0, 1, 0, 1, 0, 13, 0, 0, 6, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
ca_pool | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 20, 22, 23, 24, 25, 26, 29, 30, 31, 36, 37, 39, 41, 42, 43, 49] | [1, 1, 1, 13, 1, 0, 2, 0, 1, 2, 4, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]
composer_env | 0.0% | [0, 1, 2, 4, 6, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 26, 29, 31, 35, 37, 39, 41, 44, 47] | [1, 7, 2, 5, 1, 0, 3, 1, 0, 1, 1, 1, 7, 4, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]
data_zones-instance | 0.0% | [0, 1, 3, 10, 11, 12, 15, 20, 21, 22, 24, 25, 26, 27, 29, 31, 34, 35, 38, 39, 43, 44] | [1, 2, 11, 1, 7, 0, 0, 3, 0, 0, 0, 0, 0, 3, 2, 1, 0, 1, 4, 3, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
dns_policy | 0.0% | [0, 1, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30, 31, 32, 37, 38, 47] | [2, 1, 2, 5, 2, 1, 1, 1, 5, 2, 0, 1, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 0, 0, 1, 3, 6, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]
firewall_policy | 0.0% | [0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24, 25, 26, 29, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49] | [10, 0, 1, 1, 1, 4, 1, 1, 1, 1, 0, 1, 1, 3, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
instance | 96.0% | [11] | [8, 36, 0, 2, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
instance-output | 24.0% | [0, 1, 2, 5, 7, 12, 13, 15, 17, 18, 20, 21, 23, 25, 28, 29, 32, 34, 35, 42, 43, 46, 47, 48, 49] | [2, 8, 0, 0, 1, 1, 3, 1, 3, 2, 3, 0, 1, 1, 2, 0, 1, 1, 2, 3, 0, 1, 1, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0]
ml-engine | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
