Task | Success rate | Errors | Distribution
bigquery_dataset | 0.0% | [0, 1, 6, 12, 13, 15, 17, 19, 20, 21, 24, 25, 30, 31] | [17, 3, 0, 0, 1, 6, 0, 1, 0, 8, 0, 2, 0, 3, 1, 0, 0, 4, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
bucket-backend_bucket | 0.0% | [0, 1, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 31, 33, 35, 37, 38, 39, 43, 47, 49] | [1, 2, 1, 5, 2, 2, 2, 5, 2, 0, 1, 3, 0, 1, 3, 1, 0, 3, 1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0]
ca_pool | 0.0% | [0, 1, 7, 11, 12, 17, 23, 24, 26, 27, 33, 34, 36, 37] | [18, 3, 0, 1, 9, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
composer_env | 0.0% | [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
data_zones-instance | 0.0% | [0, 1, 2, 8, 10, 11, 12, 13, 15, 16, 17, 19, 20, 22, 26, 27, 28, 37, 38, 39, 49] | [2, 2, 2, 2, 9, 3, 0, 4, 2, 2, 0, 5, 3, 3, 0, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
data_zones-instance_count_zones | 0.0% | [0, 1, 4, 10, 11, 12, 13, 14, 18, 20, 21, 22, 29, 31, 35, 43, 45, 46] | [1, 8, 2, 3, 1, 4, 3, 0, 0, 0, 1, 0, 0, 2, 9, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
data_zones-instance_for_each_zone | 0.0% | [0, 1, 11, 13, 24, 31, 32, 40, 41, 42, 47] | [15, 14, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
dns_policy | 0.0% | [0, 1, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 46, 47, 48, 49] | [3, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
firewall_policy | 0.0% | [0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 23, 24, 26, 27, 28, 29, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 45, 48, 49] | [2, 1, 1, 3, 5, 1, 1, 1, 0, 2, 1, 3, 1, 0, 1, 0, 1, 2, 0, 1, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1]
instance | 0.0% | [0, 1, 3, 5, 10, 11, 12, 14, 23, 25, 26, 28, 29, 30, 31, 32, 34, 36, 38, 40, 43, 49, 50, 51, 52, 53] | [1, 8, 2, 7, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 2, 1, 3, 4, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]
