Task | Success rate | Errors | Distribution
bigquery_dataset | 0.0% | [0, 1, 4, 6, 10, 11, 12, 15, 16, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 31, 35, 37, 39, 40, 42, 44, 48] | [1, 1, 1, 7, 7, 0, 0, 2, 1, 0, 2, 1, 0, 0, 2, 3, 2, 1, 1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 1, 1, 1, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0]
bucket-backend_bucket | 0.0% | [0, 1, 2, 4, 8, 9, 11, 12, 13, 14, 17, 18, 21, 22, 23, 24, 25, 26, 28, 30, 34, 35, 37, 39, 40, 41, 42, 45, 47, 48] | [8, 1, 0, 5, 2, 1, 1, 0, 0, 2, 1, 0, 2, 0, 1, 1, 1, 1, 2, 1, 0, 3, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 2, 2, 1, 1, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 1, 1]
ca_pool | 0.0% | [0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 31, 33, 34, 37, 40, 42, 44, 45, 47, 48] | [1, 1, 3, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 0, 2, 4, 1, 1, 1, 1, 0, 1, 0, 3, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 2, 0, 1, 0, 1, 0, 1]
composer_env | 0.0% | [0, 1, 2, 4, 8, 9, 10, 12, 13, 16, 17, 18, 19, 20, 26, 28, 29, 31, 32, 33, 34, 36, 37, 38, 39, 40, 43, 45, 48] | [1, 1, 16, 0, 1, 2, 0, 0, 1, 2, 1, 1, 1, 2, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 1, 1]
data_zones-instance | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 36, 38, 39, 40, 41, 42, 43, 45, 47, 48] | [2, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 3, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 2, 0, 1, 1, 1, 1, 1]
data_zones-instance_count_zones | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 0, 1, 1, 1, 1, 1]
data_zones-instance_for_each_zone | 0.0% | [0, 1, 2, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 44, 46, 48] | [1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 3, 2, 1, 0, 1, 1, 2, 1, 1, 1, 2, 1, 2, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 2, 0, 0, 1, 1, 0, 1]
dns_policy | 56.00000000000001% | [0, 1, 2, 3, 5, 6, 10, 14, 18, 19, 21, 25, 26, 31, 33, 44, 48] | [2, 1, 1, 1, 1, 4, 1, 1, 0, 6, 1, 1, 4, 0, 1, 0, 8, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 1, 1, 0, 0, 0]
firewall_policy | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 25, 27, 28, 29, 30, 31, 32, 34, 36, 38, 39, 41, 45, 46, 48] | [3, 1, 1, 1, 1, 2, 1, 1, 0, 1, 3, 1, 2, 0, 1, 1, 3, 0, 1, 0, 2, 1, 2, 2, 1, 1, 1, 0, 1, 0, 1, 0, 1, 2, 1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 1, 1, 1, 1, 1]
instance | 54.0% | [0, 13, 16, 48] | [2, 3, 0, 23, 0, 4, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
instance-output_cpu | 0.0% | [0, 1, 3, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 32, 33, 37, 38, 44, 47, 48, 49] | [3, 5, 4, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 4, 0, 1, 3, 4, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0]
instance_access_config | 0.0% | [0, 5, 11, 13, 16, 19, 20, 26, 41] | [14, 0, 0, 22, 0, 2, 0, 0, 6, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
ml-engine | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 35, 36, 37, 39, 40, 41, 42, 44, 45, 46, 47, 48] | [1, 2, 1, 1, 1, 1, 0, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1]
network-firewall | 0.0% | [0, 1, 3, 4, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 29, 30, 33, 35, 36, 37, 38, 40, 41, 43, 46, 47, 48, 49] | [8, 6, 1, 0, 1, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 5, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 2, 0, 1, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0]
network-instance_self_link | 0.0% | [0, 1, 2, 3, 4, 5, 7, 8, 13, 14, 16, 17, 19, 21, 24, 26, 28, 29, 31, 32, 33, 39, 40, 41, 44, 45, 48] | [7, 4, 0, 0, 0, 3, 1, 0, 5, 1, 0, 3, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 2, 2, 0, 0, 0, 0, 0, 1, 1, 4, 1, 0, 0, 1, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0]
network-route | 0.0% | [0, 1, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 23, 24, 26, 29, 33, 38, 40, 41, 43] | [3, 4, 4, 1, 6, 5, 1, 2, 1, 2, 1, 0, 0, 1, 3, 0, 1, 1, 0, 4, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]
network-router | 0.0% | [0, 1, 2, 3, 5, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 40, 41, 43, 45, 46, 47, 48] | [1, 3, 1, 1, 1, 2, 4, 2, 0, 1, 0, 1, 1, 1, 1, 3, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 2, 0, 1, 0, 0, 0, 1]
network-subnetwork | 4.0% | [0, 1, 4, 6, 10, 12, 13, 14, 16, 17, 18, 21, 25, 29, 32, 33, 35, 36, 38, 39, 42, 47] | [6, 8, 2, 0, 4, 2, 3, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 3, 1, 0, 0, 2, 0, 0, 0, 2, 2, 0, 1, 2, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0]
