Task | Success rate | Errors
bigquery_dataset | 0.0% | [0, 1, 2, 3, 10, 12, 13, 14, 15, 16, 18, 29, 32, 37, 40, 55, 76, 77] 
bucket-backend_bucket | 0.0% | [0, 1, 5, 10, 11, 12, 13, 14, 15, 16, 17, 20, 22, 23, 25, 26, 30, 34, 35, 37, 38, 39, 45, 47, 48, 50, 51, 57, 59, 64, 66, 70, 76, 81, 82, 86, 90, 94, 98] 
ca_pool | 0.0% | [0, 1, 2, 3, 10, 13, 20, 21, 22, 25, 27, 29, 31, 33, 36, 39, 44, 45, 46, 47, 48, 50, 57, 62, 79, 80, 85, 91, 97, 98] 
composer_env | 0.0% | [0, 1, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 85, 86, 87, 88, 89, 90, 91, 92, 94, 95, 96, 97, 98, 99] 
data_zones-instance | 0.0% | [0, 1, 3, 5, 10, 11, 13, 16, 17, 20, 21, 22, 23, 25, 30, 35, 37, 39, 40, 44, 47, 49, 53, 54, 57, 58, 59, 63, 67, 71, 76, 84, 88, 89, 95] 
data_zones-instance_count_zones | 0.0% | [0, 1, 3, 10, 11, 13, 16, 19, 27, 28, 30, 32, 33, 34, 36, 42, 49, 53, 56, 57, 96, 99] 
data_zones-instance_for_each_zone | 0.0% | [0, 1, 3, 4, 7, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 30, 31, 34, 35, 39, 40, 42, 43, 44, 45, 47, 48, 49, 53, 54, 56, 57, 59, 60, 62, 63, 64, 65, 72, 77, 78, 79, 82, 83, 90, 92, 95] 
dns_policy | 0.0% | [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24, 25, 26, 27, 29, 30, 31, 33, 34, 35, 36, 37, 39, 40, 41, 42, 44, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 82, 83, 84, 87, 90, 91, 92, 93, 94, 95, 97, 98, 99] 
firewall_policy | 0.0% | [0, 1, 2, 3, 4, 8, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 25, 26, 27, 28, 30, 32, 33, 34, 35, 37, 42, 46, 47, 48, 49, 50, 51, 54, 55, 57, 58, 61, 65, 66, 67, 71, 72, 74, 75, 77, 78, 80, 82, 84, 85, 87, 88, 95, 97, 98] 
instance | 0.0% | [0] 
instance-output_cpu | 0.0% | [0, 1, 10, 13, 17, 19, 23, 26, 62] 
ml-engine | 0.0% | [0, 5, 10, 16, 18, 19, 23, 25, 27, 30, 37, 40, 45, 47, 50, 52, 57, 60, 62, 65, 68, 71, 82, 86, 90, 97] 
network-firewall | 0.0% | [0, 1, 2, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 32, 33, 34, 35, 36, 38, 39, 40, 41, 43, 44, 46, 47, 48, 49, 50, 52, 53, 55, 57, 58, 67, 69, 70, 77, 81, 88, 92, 95, 96] 
network-instance_self_link | 0.0% | [0, 1, 4, 8, 9, 10, 11, 12, 14, 16, 18, 19, 20, 21, 23, 29, 34, 35, 36, 39, 40, 46, 49, 53, 55, 57, 62, 63, 64, 68, 71, 72, 80, 82, 84, 85, 86, 91, 92, 97, 98] 
network-route | 0.0% | [0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 35, 37, 38, 39, 41, 43, 44, 46, 47, 49, 50, 51, 52, 55, 56, 58, 61, 64, 65, 67, 68, 69, 70, 71, 73, 75, 76, 77, 79, 80, 81, 82, 83, 86, 87, 89, 90, 91, 92, 96, 97, 98, 99] 
network-router | 0.0% | [0, 1, 2, 3, 10, 12, 18, 32, 34, 36, 39, 42, 73, 85] 
network-subnetwork | 0.0% | [0, 1, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 23, 24, 25, 26, 27, 30, 33, 34, 35, 36, 37, 38, 40, 41, 42, 45, 46, 49, 51, 53, 54, 55, 56, 59, 61, 62, 64, 65, 67, 70, 71, 79, 80, 82, 85, 86, 88, 90, 91, 96, 98] 
network-subnetwork-address | 0.0% | [0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 39, 40, 41, 42, 43, 45, 46, 48, 50, 52, 55, 56, 57, 58, 59, 60, 61, 63, 64, 65, 66, 67, 68, 69, 70, 73, 75, 79, 80, 81, 82, 84, 85, 86, 87, 88, 91, 92, 93, 98] 
