Task | Success rate | Errors | Distribution
bigquery_dataset | 0.0% | [0, 1, 16, 36] | [35, 11, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
bucket-backend_bucket | 96.0% | [2, 29] | [18, 0, 14, 0, 0, 10, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
ca_pool | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
composer_env | 2.0% | [0, 1, 3, 5, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 24, 25, 26, 27, 31, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 48, 49, 50, 52, 53] | [1, 4, 0, 2, 1, 3, 4, 1, 2, 1, 2, 1, 0, 1, 0, 1, 0, 1, 2, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 2, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1]
data_zones-instance | 0.0% | [0, 14, 15, 17, 19, 37, 40, 44, 47, 49] | [29, 0, 0, 0, 0, 0, 1, 2, 0, 2, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]
data_zones-instance_count_zones | 0.0% | [0, 13, 15, 16, 17, 22, 25, 31, 32, 35] | [27, 0, 0, 0, 0, 1, 0, 2, 5, 9, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
data_zones-instance_for_each_zone | 0.0% | [0, 1, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 27, 30, 37, 40, 42, 45, 47] | [2, 4, 3, 3, 3, 3, 0, 2, 1, 9, 3, 3, 0, 2, 1, 1, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]
dns_policy | 100.0% | [] | [16, 3, 2, 10, 0, 3, 0, 0, 0, 0, 3, 0, 7, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
firewall_policy | 0.0% | [0, 10, 13] | [12, 0, 21, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
instance | 0.0% | [0, 1, 11, 12, 17, 23, 24] | [10, 9, 0, 8, 15, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
instance-output_cpu | 14.000000000000002% | [1, 10, 14, 16, 44] | [2, 17, 4, 0, 0, 0, 11, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
instance_access_config | 0.0% | [0, 1, 10, 15, 20, 23, 25, 29, 51] | [6, 7, 22, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
ml-engine | 0.0% | [0, 21, 23] | [46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
network-firewall | 100.0% | [] | [24, 13, 0, 1, 1, 1, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]
network-instance_self_link | 0.0% | [0, 1, 3, 10, 11, 20, 22, 30] | [10, 6, 29, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
network-route | 0.0% | [0, 1, 2, 3, 4, 10, 13, 14, 16, 18, 19, 20, 27, 30, 31, 33, 34, 35, 37, 41, 47, 53] | [6, 3, 15, 0, 0, 3, 1, 0, 1, 0, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 1, 1, 1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]
network-router | 0.0% | [0, 11, 12, 13, 18, 19, 20, 24, 26, 42, 48, 51] | [28, 0, 0, 7, 2, 4, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
network-subnetwork | 0.0% | [0, 1, 17, 24, 29, 35] | [26, 16, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
network-subnetwork-address | 0.0% | [0, 1, 10, 12, 13, 15, 16, 17, 19, 24, 29, 33, 34, 45] | [11, 1, 5, 0, 1, 20, 0, 3, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
network-vpn_gateway | 0.0% | [0, 1, 2, 3, 10, 11, 15, 16, 21, 24, 25, 27, 30, 31, 32, 33, 44, 45, 48, 53] | [3, 6, 1, 9, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 8, 0, 0, 5, 2, 0, 1, 0, 0, 1, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]
network_empty | 74.0% | [1, 15] | [37, 8, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
network_subnet | 100.0% | [] | [27, 0, 0, 0, 4, 0, 4, 13, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
node_template | 0.0% | [0, 1, 2, 10, 13, 14, 15, 18, 19, 25, 27, 30, 31, 35, 36, 37, 42, 43, 45, 46, 52, 53] | [8, 4, 12, 0, 0, 1, 1, 2, 0, 0, 2, 3, 1, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1]
node_template-node_group | 0.0% | [0, 1, 2, 3, 5, 11, 14, 15, 16, 17, 18, 21, 23, 24, 25, 27, 28, 29, 30, 31, 32, 34, 36, 37, 38, 41, 43, 45, 48, 49, 50, 51] | [14, 2, 0, 1, 0, 0, 2, 1, 1, 2, 1, 0, 1, 0, 1, 0, 1, 1, 2, 0, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]
